sample_id,text,bias_type,bias_description,source_type,department,word_count,char_count,confidence_score,is_biased,timestamp
SAMPLE00001,"I just read about a regulatory change, so I'm very concerned about security threats. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Chat Message,Marketing,20,121,0.557,1,2025-01-09 16:31:17
SAMPLE00002,I'm focusing on Q4 results because that's what's happening now. Older data is outdated.,recency_bias,Giving more weight to recent events than historical data,Report,Sales,14,87,0.758,1,2025-07-18 16:31:17
SAMPLE00003,"Based on what happened {timeframe}, I predict {outcome}. Long-term trends don't matter as much.",recency_bias,Giving more weight to recent events than historical data,Report,Finance,14,95,0.766,1,2025-05-19 16:31:17
SAMPLE00004,We've committed $149k and 34 months to this approach. Changing course now would mean admitting it was wrong.,sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Survey Response,Marketing,18,108,0.639,1,2025-04-28 16:31:17
SAMPLE00005,"Since a merger announcement happened recently, I think the probability of customer churn is much higher than statistics show.",availability_bias,Overestimating likelihood of events based on their mental availability,Meeting Note,Marketing,19,125,0.957,1,2025-07-11 16:31:17
SAMPLE00006,"After putting in major effort, we have to see it through despite technical challenges. We're too far in to stop.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Report,Product,20,112,0.664,1,2024-11-13 16:31:17
SAMPLE00007,Look at the new study - it clearly shows obvious trend. Anyone who disagrees is just ignoring the facts.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Decision Memo,Sales,19,104,0.52,1,2025-06-22 16:31:17
SAMPLE00008,"After putting in substantial capital, we have to see it through despite technical challenges. We're too far in to stop.",sunk_cost_fallacy,Continuing a behavior due to previously invested resources,Decision Memo,Product,20,119,0.879,1,2025-10-05 16:31:17
SAMPLE00009,"The original forecast said $158k, so anything close to that seems acceptable to me.",anchoring_bias,Over-reliance on the first piece of information encountered,Decision Memo,Engineering,14,83,0.409,1,2025-08-26 16:31:17
SAMPLE00010,I based my decision on the initial figure of 185 units. Later adjustments don't change my view much.,anchoring_bias,Over-reliance on the first piece of information encountered,Decision Memo,Sales,18,100,0.773,1,2025-05-06 16:31:17
SAMPLE00011,Look at the recent analysis - it clearly shows strong correlation. Anyone who disagrees is just ignoring the facts.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Sales,19,115,0.891,1,2025-01-06 16:31:17
SAMPLE00012,"After hearing about a regulatory change, I'm convinced competitive disadvantage is very likely. The news is full of similar stories.",availability_bias,Overestimating likelihood of events based on their mental availability,Meeting Note,HR,20,132,0.953,1,2025-09-11 16:31:17
SAMPLE00013,This research validates what I already knew: customers prefer simplicity. Other studies are probably flawed.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Report,Marketing,15,108,0.661,1,2024-12-22 16:31:17
SAMPLE00014,This research validates what I already knew: experience beats credentials. Other studies are probably flawed.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Email,HR,15,109,0.703,1,2025-03-02 16:31:17
SAMPLE00015,"I just read about a data breach, so I'm very concerned about reputational damage. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Email,Engineering,20,118,0.783,1,2025-10-03 16:31:17
SAMPLE00016,"Looking back, the expansion was inevitable. I'm surprised others didn't see it coming.",hindsight_bias,Believing past events were more predictable than they actually were,Survey Response,Sales,13,86,0.576,1,2025-07-22 16:31:17
SAMPLE00017,"All the experts are recommending customer-centric design, so I'll follow their lead. They can't all be wrong.",bandwagon_effect,Adopting beliefs because many others hold them,Decision Memo,Engineering,17,109,0.802,1,2025-09-07 16:31:17
SAMPLE00018,"I just read about a product recall, so I'm very concerned about security threats. It seems to be happening everywhere.",availability_bias,Overestimating likelihood of events based on their mental availability,Chat Message,Strategy,20,118,0.788,1,2025-07-13 16:31:17
SAMPLE00019,Recent performance indicates ongoing challenges. Past data from years ago isn't as relevant anymore.,recency_bias,Giving more weight to recent events than historical data,Survey Response,Operations,14,100,0.903,1,2025-01-19 16:31:17
SAMPLE00020,I knew change would happen because the latest report. This just proves what I've always believed about strategic planning.,confirmation_bias,"Tendency to search for, interpret, or recall information that confirms preexisting beliefs",Chat Message,Sales,19,122,0.74,1,2025-05-10 16:31:17
SAMPLE00021,I knew the reorganization would happen all along. The signs were obvious in retrospect.,hindsight_bias,Believing past events were more predictable than they actually were,Email,Sales,14,87,0.713,1,2025-05-18 16:31:17
