meeting_id,meeting_type,date,duration_minutes,num_participants,transcript,transcript_length,num_utterances,avg_sentiment,sentiment_std,agenda_clear,on_time_start,stayed_on_topic,avg_speaking_time,participation_balance,questions_asked,action_items,decisions_made,usefulness_rating,action_completion_rate,effectiveness_score
MTG00001,Retrospective,2025-11-01,59,3,I'll take the action item to follow up. I'm concerned about the timeline here. The deadline for this is next Friday. We've discussed this several times already. That's a really innovative approach. We have three items on the agenda today. This meeting could have been an email. I appreciate everyone's input today. Let me share my screen to show the data. I'm not sure this is the right approach. We have three items on the agenda today. I'm concerned about the timeline here. Excellent point. I hadn...,1088,28,0.514,0.217,1,0,0.541,19.67,0.891,0,3,0,3.6,0.568,63.2
MTG00002,Brainstorming,2025-09-29,70,6,Let's move to the next topic. I agree with this approach. It makes sense. I agree with this approach. It makes sense. I appreciate everyone's input today. I agree with this approach. It makes sense. Let's move to the next topic. This solution addresses our concerns perfectly. I think we've reached a good decision here. Can everyone see the presentation? Great idea! Let's explore that further. We should schedule a follow-up meeting. The project timeline is on track. We have three items on the age...,1272,31,0.54,0.228,1,1,0.833,11.67,0.886,0,3,0,4.1,0.766,80.9
MTG00003,Decision-Making,2025-09-27,13,4,Let's move to the next topic. I'll take the action item to follow up. Can everyone see the presentation? I agree with this approach. It makes sense. I think we've reached a good decision here. This is exactly what we need. Well done. That's a really innovative approach. Excellent point. I hadn't considered that. The deadline for this is next Friday. We should have resolved this weeks ago. I appreciate everyone's input today. We're going in circles on this topic. I disagree with this direction co...,552,14,0.674,0.197,1,1,0.568,3.25,0.901,3,5,2,4.4,0.613,81.2
MTG00004,Decision-Making,2025-10-24,39,4,I'm not sure this is the right approach. Let's move to the next topic. I'll send out the meeting notes later. Can everyone see the presentation? We have three items on the agenda today. Excellent point. I hadn't considered that. This meeting could have been an email. This solution addresses our concerns perfectly. I'm concerned about the timeline here. We should schedule a follow-up meeting. I'll send out the meeting notes later. We should schedule a follow-up meeting. The deadline for this is n...,816,21,0.52,0.206,0,0,0.69,9.75,0.897,1,5,3,3.2,0.44,51.1
MTG00005,Status Update,2025-08-07,16,20,This is exactly what we need. Well done. I disagree with this direction completely. We should have resolved this weeks ago. We've discussed this several times already. Let me share my screen to show the data. I agree with this approach. It makes sense. The deadline for this is next Friday. The deadline for this is next Friday. This seems like a waste of time honestly. Here are the key metrics from last week. We've discussed this several times already. This seems like a waste of time honestly. Th...,539,13,0.454,0.235,0,1,0.3,0.8,0.882,4,1,5,2.3,0.33,41.8
MTG00006,One-on-One,2025-06-25,57,2,I disagree with this direction completely. I'm not sure this is the right approach. We've discussed this several times already. The project timeline is on track. Can everyone see the presentation? Let's move to the next topic. We have three items on the agenda today. I'm excited about this direction. Let's move forward. I'll send out the meeting notes later. The deadline for this is next Friday. We should schedule a follow-up meeting. Great idea! Let's explore that further. Can everyone see the ...,1122,28,0.534,0.192,0,1,0.527,28.5,0.904,0,6,0,3.3,0.472,57.4
MTG00007,Decision-Making,2025-07-05,32,5,We have three items on the agenda today. This solution addresses our concerns perfectly. I'm excited about this direction. Let's move forward. I'll take the action item to follow up. Let me share my screen to show the data. I'm concerned about the timeline here. Here are the key metrics from last week. We have three items on the agenda today. We have three items on the agenda today. We should schedule a follow-up meeting. I agree with this approach. It makes sense. The project timeline is on tra...,622,15,0.497,0.172,1,0,0.615,6.4,0.914,1,3,1,3.5,0.549,65.0
MTG00008,All-Hands,2025-09-26,54,54,The project timeline is on track. This meeting could have been an email. I'll send out the meeting notes later. Excellent point. I hadn't considered that. I disagree with this direction completely. I'll take the action item to follow up. We're going in circles on this topic. I'll send out the meeting notes later. I don't think we have enough information to decide. We should schedule a follow-up meeting. That's a really innovative approach. We should have resolved this weeks ago. We have three it...,1099,27,0.419,0.205,1,1,0.567,1.0,0.897,17,5,3,4.0,0.606,76.0
MTG00009,Retrospective,2025-10-30,71,3,We have three items on the agenda today. The project timeline is on track. I'll take the action item to follow up. Can everyone see the presentation? We should have resolved this weeks ago. Excellent point. I hadn't considered that. That's a really innovative approach. The deadline for this is next Friday. This meeting could have been an email. Here are the key metrics from last week. We should schedule a follow-up meeting. Excellent point. I hadn't considered that. We should have resolved this ...,1328,33,0.533,0.196,1,1,0.52,23.67,0.902,0,3,0,3.9,0.579,73.2
MTG00010,Standup,2025-07-22,10,5,I'm excited about this direction. Let's move forward. We should schedule a follow-up meeting. Excellent point. I hadn't considered that. We have three items on the agenda today. We should have resolved this weeks ago. That's a really innovative approach. I agree with this approach. It makes sense. Great idea! Let's explore that further. That's a really innovative approach. Let me share my screen to show the data....,416,10,0.514,0.171,1,1,0.79,2.0,0.914,1,7,1,4.5,0.643,83.8
MTG00011,Retrospective,2025-09-08,67,3,I appreciate everyone's input today. We should have resolved this weeks ago. We should schedule a follow-up meeting. I'll take the action item to follow up. This seems like a waste of time honestly. Let me share my screen to show the data. The deadline for this is next Friday. I'll send out the meeting notes later. Let me share my screen to show the data. I'll send out the meeting notes later. I'm excited about this direction. Let's move forward. We should have resolved this weeks ago. Can every...,1149,29,0.454,0.185,1,1,0.445,22.33,0.907,0,2,2,4.1,0.568,67.8
MTG00012,All-Hands,2025-06-25,39,28,Great idea! Let's explore that further. That's a really innovative approach. I agree with this approach. It makes sense. This is exactly what we need. Well done. We've discussed this several times already. Here are the key metrics from last week. I agree with this approach. It makes sense. Excellent point. I hadn't considered that. I appreciate everyone's input today. I agree with this approach. It makes sense. Here are the key metrics from last week. I'll take the action item to follow up. I th...,833,20,0.631,0.21,1,1,0.896,1.39,0.895,10,4,1,4.4,0.788,86.4
MTG00013,All-Hands,2025-08-19,69,86,I'm concerned about the timeline here. Let's move to the next topic. I'll take the action item to follow up. We're going in circles on this topic. I'll send out the meeting notes later. This doesn't align with our objectives. Can everyone see the presentation? We should schedule a follow-up meeting. Let's move to the next topic. We have three items on the agenda today. Great idea! Let's explore that further. We should have resolved this weeks ago. Here are the key metrics from last week. This me...,1274,32,0.463,0.238,1,1,0.484,0.8,0.881,25,2,1,3.4,0.679,68.6
MTG00014,Planning,2025-05-21,121,5,I'm excited about this direction. Let's move forward. I agree with this approach. It makes sense. This is exactly what we need. Well done. I'm excited about this direction. Let's move forward. We have three items on the agenda today. We have three items on the agenda today. The project timeline is on track. This is exactly what we need. Well done. We're going in circles on this topic. We're going in circles on this topic. This meeting could have been an email. I'll take the action item to follow...,2154,53,0.43,0.215,0,1,0.951,24.2,0.893,4,7,2,3.7,0.498,65.8
MTG00015,All-Hands,2025-07-26,92,54,This is exactly what we need. Well done. Excellent point. I hadn't considered that. This is exactly what we need. Well done. This doesn't align with our objectives. I appreciate everyone's input today. Let me share my screen to show the data. The deadline for this is next Friday. This solution addresses our concerns perfectly. This seems like a waste of time honestly. Excellent point. I hadn't considered that. Can everyone see the presentation? The deadline for this is next Friday. We have three...,1804,44,0.609,0.216,1,1,0.789,1.7,0.892,19,1,2,4.2,0.763,77.3
MTG00016,Status Update,2025-08-11,53,5,This seems like a waste of time honestly. Here are the key metrics from last week. The project timeline is on track. We have three items on the agenda today. This seems like a waste of time honestly. I think we've reached a good decision here. I'll take the action item to follow up. I'm excited about this direction. Let's move forward. I'm not sure this is the right approach. I appreciate everyone's input today. Let me share my screen to show the data. I disagree with this direction completely. ...,1045,27,0.522,0.175,1,0,0.612,10.6,0.913,1,1,2,3.7,0.614,61.4
MTG00017,Brainstorming,2025-06-19,68,5,I'm concerned about the timeline here. I'll send out the meeting notes later. I'll send out the meeting notes later. This is exactly what we need. Well done. Here are the key metrics from last week. This meeting could have been an email. Can everyone see the presentation? This seems like a waste of time honestly. The project timeline is on track. I'm not sure this is the right approach. Can everyone see the presentation? We're going in circles on this topic. Excellent point. I hadn't considered ...,1145,29,0.455,0.201,1,1,0.696,13.6,0.9,0,5,1,4.1,0.577,80.0
MTG00018,Retrospective,2025-09-08,25,3,Can everyone see the presentation? I'll take the action item to follow up. Excellent point. I hadn't considered that. The deadline for this is next Friday. Let me share my screen to show the data. I'm not sure this is the right approach. I'm concerned about the timeline here. We should schedule a follow-up meeting. I think we've reached a good decision here. We've discussed this several times already. We should schedule a follow-up meeting. This seems like a waste of time honestly. This meeting ...,924,23,0.499,0.207,0,1,0.887,8.33,0.896,0,1,3,3.2,0.569,57.6
MTG00019,Standup,2025-05-13,7,3,We're making great progress on this. I'm not sure this is the right approach. That's a really innovative approach. I'll take the action item to follow up. We've discussed this several times already. We should schedule a follow-up meeting. This is exactly what we need. Well done. We're making great progress on this. The project timeline is on track. The project timeline is on track. I think we've reached a good decision here. This solution addresses our concerns perfectly. We're making great prog...,591,15,0.528,0.209,1,1,0.869,2.33,0.896,0,3,3,3.7,0.801,81.7
MTG00020,Status Update,2025-06-20,27,5,The deadline for this is next Friday. We're making great progress on this. We're making great progress on this. I'm excited about this direction. Let's move forward. I'll take the action item to follow up. Can everyone see the presentation? I disagree with this direction completely. We're making great progress on this. Excellent point. I hadn't considered that. We're going in circles on this topic. We should schedule a follow-up meeting. I agree with this approach. It makes sense. I'm excited ab...,878,21,0.593,0.206,1,0,0.749,5.4,0.897,1,2,3,3.6,0.55,68.0
MTG00021,Review,2025-08-01,23,3,Excellent point. I hadn't considered that. We've discussed this several times already. I appreciate everyone's input today. I'll send out the meeting notes later. This solution addresses our concerns perfectly. The project timeline is on track. We should schedule a follow-up meeting. I'll send out the meeting notes later. Let me share my screen to show the data. I'll take the action item to follow up. I'll send out the meeting notes later. I'll send out the meeting notes later. I think we've rea...,567,14,0.534,0.234,1,1,0.583,7.67,0.883,1,4,0,4.1,0.559,76.5
MTG00022,Status Update,2025-07-08,23,11,Let's move to the next topic. Can everyone see the presentation? This seems like a waste of time honestly. This seems like a waste of time honestly. I disagree with this direction completely. The project timeline is on track. Here are the key metrics from last week. I'll take the action item to follow up. We should schedule a follow-up meeting. I'm concerned about the timeline here. Can everyone see the presentation? I'll send out the meeting notes later....,459,12,0.374,0.194,1,0,0.549,2.09,0.903,4,2,2,4.1,0.514,58.8
MTG00023,One-on-One,2025-10-31,16,2,This solution addresses our concerns perfectly. I appreciate everyone's input today. This is exactly what we need. Well done. We should schedule a follow-up meeting. This is exactly what we need. Well done. I think we've reached a good decision here. That's a really innovative approach. Great idea! Let's explore that further. I appreciate everyone's input today. Here are the key metrics from last week. Here are the key metrics from last week. I'm not sure this is the right approach. I agree with...,645,16,0.634,0.157,1,0,0.821,8.0,0.922,1,0,3,3.6,,67.0
